Taxon	0328_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0403_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0423_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0531_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0619_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0705_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0709_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1001_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1004_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1028_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1123_rrna.silva-bac-16s-database-id85.fasta.class.tsv
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Rhodobacter	1	0	1	1	0	0	2	0	0	0	0
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Rhodospirillales	0	0	0	0	1	0	1	0	1	0	0
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	0	0	0	0	0	0	0	0	0	0	1
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter	0	0	0	0	0	0	0	0	0	0	1
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae	0	0	0	0	0	0	1	0	1	0	6
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Rickettsiales;Rickettsiaceae	0	0	0	0	1	0	0	0	0	0	0
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Sphingomonadales	0	0	0	7	0	0	1	0	0	0	0
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingobium	0	0	0	0	0	0	0	2	0	0	0
Root;Bacteria;"Proteobacteria";Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas	0	0	1	0	0	0	0	0	0	0	0
Root;Bacteria;"Proteobacteria";Betaproteobacteria	4	0	13	10	8	4	10	26	6	30	47
Root;Bacteria;"Proteobacteria";Betaproteobacteria;Burkholderiales	6	3	8	8	8	0	6	7	5	11	10
